Word,Example
baffle,cylinder #4 intake leaking.
left,#2 & 4 cylinder rocker cover gaskets leaking.
right,induction tube hose clamps loose (all cylinder).
cylinder,rocker box cover screws are loose.
gasket,#1 intake gasket leaking.
complete,induction tube hose clamps loose (all cylinder).
thrust,on start up  engine began to run rough. ran engine @ 1200 right pattern
inoperable,on start up  engine began to run rough. ran engine @ 1200 right pattern
hydraulic,on start up  engine began to run rough. ran engine @ 1200 right pattern
magnetos,#4 rocker cover gasket leaking.
pressure,left engine #4 aft baffle cracked in multiple places.
inoperable,right engine  all valve covers are leaking.
ignition,left engine all 4 rocker cover gaskets leaking.
lower,#4 intake leaking.
increasing,#3 rocker cover gasket leaking.
maintenance,top left baffle has a crack.
battery,#2 & 4 rocker covers are leaking.
broke,#4 cylinder rocker cover is leaking.
control,#4 intake leaking.
quit,#2 & 4 rocker covers leaking.
with,#4 intake is leaking.
check,#1 rocker cover leaking.
alternator,left baffle plug worn.
turn,left engine #2 & 4 side baffle seals loose.
exhaust gas tempreture ,right engine #3 aft baffle seal is loose.
cylinder head temperature,#3 rocker cover gasket torn.
open,#4 rocker cover gasket torn.
upper,#1 rocker cover gasket leaking.
tighten,during ground run pilot noticed high oil press (engine).
celsius,during ground run pilot noticed high oil press (engine).
alarm,right engine #2 intake leaks.
assystant,left engine #4 cylinder baffle cracked.
fahrenheit,right engine #4 cylinder baffle cracked.
channel,#4 cylinder intake gasket is leaking.
low,#4 rocker box cover gasket leaking.
external,baffle plug hole worn.
alpha,engine started running rough & vibrating a lot.
service bulletin,engine started running rough & vibrating a lot.
failed,engine started running rough & vibrating a lot.
suddenly,engine started running rough & vibrating a lot.
assistant,engine started running rough & vibrating a lot.
loss,#2 intake leaks.
second,#4 intake leaks.
leadingedge,#3 & 4 rocker cover gaskets are leaking.
normal,#3 intake tube gasket is leaking.
exhaust,engine would not start.
driftangle,#2 intake is leaking.
weight,rocker box cover screws loose.
cuttoff,#2 induction tube gasket leaking.
knot,#2 & 4 rocker covers are leaking.
resistance,#1 intake leaking.
tapper,left engine #4 cylinder intake gasket is leaking.
alert,rocker box cover screws loose.
vibration,#4 rocker cover leaking.
